item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies,image_url,date_added,read_next
book,Batman: The Dark Knight Returns,Frank Miller,Frank,Miller,9781401263119,1401263119,"Together with inker Klaus Janson and colorist Lynn Varley, writer/artist Frank Miller completely reinvents the legend of Batman in his saga of a near-future Gotham City gone to rot, ten years after the Dark Knight's retirement. This masterpiece of modern comics storytelling, BATMAN: THE DARK KNIGHT RETURNS, brings to vivid life a dark world and an even darker man. The Dark Knight returns in a blaze of fury, taking on a whole new generation of criminals and matching their level of violence. He is soon joined by a new Robin--a girl named Carrie Kelley, who proves to be just as invaluable as her predecessors.But can Batman and Robin deal with the threat posed by their deadliest enemies, after years of incarceration have made them into perfect psychopaths? And more important, can anyone survive the coming fallout from an undeclared war between the superpowers -- or the clash of what were once the world's greatest heroes?Celebrate thirty years of one of the most influential stories ever told in the comics medium with the undisputed classic BATMAN: THE DARK KNIGHT RETURNS, now with a new cover and introduction.",DC Comics,2016-02-16,Left Case,,,,224.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9781401263119-L.jpg,2025-09-28,False
book,War: How Conflict Shaped Us,Margaret MacMillan,Margaret,MacMillan,9780593132371,593132378,"Is peace an aberration? The bestselling author of Paris 1919 offers a provocative view of war as an essential component of humanity.  NAMED ONE OF THE TEN BEST BOOKS OF THE YEAR BY THE NEW YORK TIMES BOOK REVIEW AND THE EAST HAMPTON STAR ""Margaret MacMillan has produced another seminal work. . . . She is right that we must, more than ever, think about war. And she has shown us how in this brilliant, elegantly written book.""--H.R. McMaster, author of Dereliction of Duty and Battlegrounds: The Fight to Defend the Free World The instinct to fight may be innate in human nature, but war--organized violence--comes with organized society. War has shaped humanity's history, its social and political institutions, its values and ideas. Our very language, our public spaces, our private memories, and some of our greatest cultural treasures reflect the glory and the misery of war. War is an uncomfortable and challenging subject not least because it brings out both the vilest and the noblest aspects of humanity.  Margaret MacMillan looks at the ways in which war has influenced human society and how, in turn, changes in political organization, technology, or ideologies have affected how and why we fight. War: How Conflict Shaped Us explores such much-debated and controversial questions as: When did war first start? Does human nature doom us to fight one another? Why has war been described as the most organized of all human activities? Why are warriors almost always men? Is war ever within our control?  Drawing on lessons from wars throughout the past, from classical history to the present day, MacMillan reveals the many faces of war--the way it has determined our past, our future, our views of the world, and our very conception of ourselves.",Random House Publishing Group,2021-10-05,Left Case,,,,336.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9780593132371-L.jpg,2025-09-28,False
book,The Art of Invisibility,Kevin Mitnick,Kevin,Mitnick,9780316380522,316380520,"Be online without leaving a trace. Your every step online is being tracked and stored, and your identity literally stolen. Big companies and big governments want to know and exploit what you do, and privacy is a luxury few can afford or understand. In this explosive yet practical book, Kevin Mitnick uses true-life stories to show exactly what is happening without your knowledge, teaching you ""the art of invisibility""--online and real-world tactics to protect you and your family, using easy step-by-step instructions. Reading this book, you will learn everything from password protection and smart Wi-Fi usage to advanced techniques designed to maximize your anonymity. Kevin Mitnick knows exactly how vulnerabilities can be exploited and just what to do to prevent that from happening. The world's most famous--and formerly the US government's most wanted--computer hacker, he has hacked into some of the country's most powerful and seemingly impenetrable agencies and companies, and at one point was on a three-year run from the FBI. Now Mitnick is reformed and widely regarded as the expert on the subject of computer security. Invisibility isn't just for superheroes--privacy is a power you deserve and need in the age of Big Brother and Big Data.",Back Bay Books,2018-11-20,Left Case,,,,320.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9780316380522-L.jpg,2025-09-28,False
book,This Is Your Mind on Plants,Michael Pollan,Michael,Pollan,9780593296905,593296907,"From the #1 New York Times bestselling author Michael Pollan, a radical challenge to how we think about drugs, and an exploration into the powerful human attraction to psychoactive plants -- and the equally powerful taboos Of all the things humans rely on plants for--sustenance, beauty, fragrance, flavor, fiber--surely the most curious is our use of them is to change consciousness: to stimulate or calm, fiddle with or completely alter, the qualities of our mental experience. Take coffee and tea: people around the world rely on caffeine to sharpen their minds. We don't usually think of caffeine as a drug, or our daily use as an addiction, because it is legal and socially acceptable. So then what is a drug? And why, for example, is making tea from the leaves of a tea plant acceptable, but making tea from a seed head of an opium poppy a federal crime? In THIS IS YOUR MIND ON PLANTS, Michael Pollan dives deep into three plant drugs -- opium, caffeine, and mescaline -- and throws the fundamental strangeness, and arbitrariness, of our thinking about them into sharp relief. Exploring and participating in the cultures that have grown up around these drugs, while consuming (or in the case of caffeine, trying not to consume) them, Pollan reckons with the powerful human attraction to psychoactive plants, and the equally powerful taboos with which we surround them. Why do we go to such great lengths to seek these shifts in consciousness, and then why do we fence that universal desire with laws and customs and such fraught feelings? A unique blend of history, science, memoir, as well as participatory journalism, Pollan examines and experiences these plants from several very different angles and contexts, and shines a fresh light on a subject that is all too often treated reductively -- as a drug, whether licit or illicit. But that's one of the least interesting things you can say about these plants, Pollan shows, for when we take them into our bodies and let them change our minds, we are engaging with nature in one of the most profound ways we can. Based in part on an essay written more than 25 years ago, this groundbreaking and singular consideration of psychoactive plants, and our attraction to them through time, holds up a mirror to our fundamental human needs and aspirations, the operations of our minds, and our entanglement with the natural world.",Penguin Press,2021-07-06,Left Case,,,,352.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9780593296905-L.jpg,2025-09-28,False
book,Loaded: A Disarming History of the Second Amendment,Roxanne Dunbar-Ortiz,Roxanne,Dunbar-Ortiz,9780872867239,872867234,"""Her analysis, erudite and unrelenting, exposes blind spots not just among conservatives, but, crucially, among liberals as well. . . . As a portrait of the deepest structures of American violence, Loaded is an indispensable book.""--Patrick Blanchfield, The New RepublicAmerica loves guns. From Daniel Boone and Jesse James to the NRA and Seal Team 6, gun culture has colored the lore, shaped the law, and protected the market that arms the nation. In Loaded, Roxanne Dunbar-Ortiz peels away the myths of gun culture to expose the true historical origins of the Second Amendment, revealing the racial undercurrents connecting the earliest Anglo settlers with contemporary gun proliferation, modern-day policing, and the consolidation of influence of armed white nationalists. From the enslavement of Blacks and the conquest of Native America, to the arsenal of institutions that constitute the ""gun lobby,"" Loaded presents a people's history of the Second Amendment, as seen through the lens of those who have been most targeted by guns: people of color. Meticulously researched and thought-provoking throughout, this is essential reading for anyone interested in understanding the historical connections between racism and gun violence in the United States.Roxanne Dunbar-Ortiz grew up in rural Oklahoma, the daughter of a tenant farmer and part-Indian mother. She is the author of many books, including Outlaw Woman, a memoir of the 1960s and her time in an armed underground group, and the acclaimed An Indigenous Peoples' History of the United States. She lives in San Francisco.Praise for Loaded""A provocative cultural analysis arguing that the Second Amendment and white supremacy are inextricably bound. . . . the author's historical research provides strong support for her argument that gun love is as American as apple pie--and that those guns have often been in the hands of a powerful white majority to subjugate minority natives, slaves, or others who might stand in the way of the broadest definition of Manifest Destiny. A radical revision of American history, specifically as it relates to its persistent gun culture.""--Kirkus Reviews""Loaded recognizes the central truth about our 'gun culture': that the privileged place of guns in American law and society is the by-product of the racial and class violence that has marked our history from its beginnings.""--Richard Slotkin, author of The Gunfighter Nation: Myth of the Frontier in Twentieth-Century America""Trigger warning! This is a superb and subtle book, not an intellectual safe space for confirming your preconceptions--whatever those might be--but rather a deeply necessary provocation. Roxanne Dunbar-Ortiz has done it again, giving us a fluid and sweeping history of the many painful contradictions that are the deep history of America's love–hate relationship with firearms. In understanding that history, Loaded also unpacks the contemporary pathologies of both fanatical gun culture and quixotic liberal moralizing against guns. As Dunbar-Ortiz shows us, the key connection between these antagonistic positions is their shared silence on that most pressing and persistent of American problems: economic exploitation and inequality.""--Christian Parenti, author of Lockdown America: Police and Prisons in the Age of Crisis""From an eminent scholar comes this timely and urgent intervention on U.S. gun culture. Loaded is a high-impact assault on the idea that Second Amendment rights were ever intended for all Americans. A timely antidote to our national amnesia about the white supremacist and settler colonialist roots of the Second Amendment.""--Caroline Light, author of Stand Your Ground: A History of America's Love Affair with Lethal Self-Defense""In her trenchant analysis of the Second Amendment, Dunbar-Ortiz avoids a legalistic approach and eschews the traditional view that links the amendment to citizens' need to protect themselves from a tyrannical government. Instead, she argues that the Second Amendment was passed to facilitate the genocide of Native Americans in order to steal their land and to provide a means for slaveholders to control their human property. She supports her thesis with numerous examples of atrocities directed at Native Americans in the late 18th and 19th centuries, and notes that 'slave patrols' were used to capture runaway slaves and bolster power among slave owners. To Dunbar-Ortiz, the Second Amendment is a reflection of an American gun culture that has countenanced genocide, slavery, and a scourge of civilian-perpetrated mass murders in the modern era. Though she acknowledges that there is 'no way to prove a correlation between war-related crimes and domestic mass shootings,' she believes that Sandy Hook, Virginia Tech, and other similar tragedies are the predictable dark shadow and 'domestic expression' of what historian Andrew J. Bacevich dubbed 'the new American militarism.' Dunbar-Ortiz's argument will be disturbing and unfamiliar to most readers, but her evidence is significant and should not be ignored.""--Publishers Weekly“With her usual unassailable rigor for detail and deep perspective, Roxanne Dunbar Ortiz has potentially changed the debate about gun control in the United States. She meticulously and convincingly argues that U.S. gun culture--and the domestic and global massacres that have flowed from it--must be linked to an understanding of the ideological, historical, and practical role of guns in seizing Native American lands, black enslavement, and global imperialism. This is an essential work for policy-makers, street activists, and educators who are concerned with Second Amendment debates, #blacklivematters campaigns, global peace, and community-based security.""—Clarence Lusane, Chairman and Professor of Political Science at Howard University and author of The Black History of the White House""Just what did the founding fathers intend the Second Amendment to do? Roxanne Dunbar-Ortiz's answer to that question will unsettle liberal gun control advocates and open-carry aficionados alike. She follows the bloodstains of today's mass shootings back to the slave patrols and Indian Wars. There are no easy answers here, just the tough reckoning with history needed to navigate ourselves away from a future filled with more tragedies.""—James Tracy, co-author of Hillbilly Nationalists, Urban Race Rebels and Black Power: Community Organizing in Radical Times""Gun violence, Roxanne Dunbar-Ortiz compellingly shows, is as U.S. American as apple pie. This important book peels back the painful and bloody layers of gun culture in the United States, and exposes their deep roots in the killing and dispossession of Native peoples, slavery and its aftermath, and U.S. empire-making. They are roots with which all who are concerned with matters of justice, basic decency, and the enduring tragedy of the U.S. love affair with guns must grapple.""--Joseph Nevins, author of Dying to Live: A Story of U.S. Immigration in an Age of Global Apartheid""Loaded is a masterful synthesis of the historical origins of violence and militarism in the US. Roxanne Dunbar-Ortiz reminds us of what we've chosen to forget at our own peril: that from mass shootings to the routine deployment of violence against civilians by the US military, American violence flows from the normalization of racialized violence in our country’s founding history.""--Johanna Fernandez, Assistant Professor of History at Baruch College of the City University, and author of the forthcoming book, When the World Was Their Stage: A History of the Young Lords Party, 1968–1976""Roxanne Dunbar-Oritz's Loaded argues U.S. history is quintessential gun history, and gun history is a history of racial terror and genocide. In other words, gun culture has never been about hunting. From crushing slave rebellions to Indigenous resistance, arming individual white settler men has always been the strategy for maintaining racial and class rule and for taking Indigenous land from the founding of the settler nation to the present. With clarity and urgency, Dunbar-Ortiz asks us not to think of our current moment as an exceptional era of mass-shootings. Instead, the very essence of the Second Amendment and the very project of U.S. 'settler democracy' has required immense violence that began with Indigenous genocide and has expanded to endless war-making across the globe. This is a must read for any student of U.S. history."" --Nick Estes is the author of the forthcoming book Our History is the Future: Mni Wiconi and Native Liberation""More than a history of the Second Amendment, this is a powerful history of the forging of white nationalism and empire through racist and naked violence. Explosively, it also shows how even liberal--and some leftist--pop culture icons have been complicit in the myth-making that has shrouded this potent historical truth.""--Gerarld Horne, author of The Counter Revolution of 1776: Slave Resistance and the Origins of the USA""Roxanne Dunbar-Ortiz is a major spokesperson for what might be called the 'new exceptionalism.' Instead of viewing the United States as a model that other nations should imitate, a new generation of historians finds the United States to be a society founded on genocide, slavery and male domination, and permeated by hatred toward those who are different. In her earlier book, An Indigenous Peoples' History of the United States, Ortiz argued that the legacy of its Indian wars shaped the United States' military practices in, for example, the Philippines. Now, in Loaded, she widens her lens to propose that the addiction to violence characteristic of American domestic institutions also derives from the frontiersman's belief in solving problems by killing. Whether expressed in individual cruelty like the collection of scalps or group barbarism by settler colonialists calling themselves 'militias,' violence has become an ever-widening theme of life in the United States.""--Staughton Lynd, author of Class Conflict, Slavery, and the United States ConstitutionLoaded unleashes a sweeping and unsettling history of gun laws in the United States, beginning with anti-Native militias and anti-Black slave patrols. From the roots of white men armed to forge the settler state, the Second Amendment evolved as a tool for protecting white, male property owners. It's a must read for anyone who wants to uncover the long fetch of contemporary Second Amendment battles.""--Kelly Lytle Hernandez, City of Inmates: Conquest, Rebellion, and the Rise of Human Caging in Los Angeles, 1771-1965 ""For anyone who believes we need more than 'thoughts and prayers' to address our national gun crisis, Loaded is required reading. Beyond the Second Amendment, Roxanne Dunbar-Ortiz presents essential arguments missing from public debate. She forces readers to confront hard truths about the history of gun ownership, linking it to ongoing structures of settler colonialism, white supremacy, and racial capitalism. These are the open secrets of North American history. It is our anxious denial as much as our public policies that perpetrate violence. Only by coming to peace with our history can we ever be at peace with ourselves. This, for me, is the great lesson of Loaded.""--Christina Heatherton, co-editor of Policing the Planet: Why the Policing Crisis Led to Black Lives Matter""Roxanne Dunbar-Ortiz has done an outstanding job of resituating the so-called gun debate into the context of race and settler colonialism. The result is that the discussion about individual gun ownership is no longer viewed as an abstract moral question and instead understood as standing at the very foundation of U.S. capitalism. My attention was captured from the first page.""--Bill Fletcher, Jr., former president of TransAfrica Forum and syndicated writer""Dunbar-Ortiz’s subtle deconstructions of the various works which contributed to our misunderstandings of the Second Amendment’s roots are vitally required reading, especially in our current era of daily mass shootings and political inaction toward better gun control. The white supremacy that Dunbar-Ortiz exposes with surgical exactness is the true foundation of the America we know today.""--Sezin Koehler, Wear Your Voice Magazine""Roxanne Dunbar-Ortiz provides a brilliant decolonization of the Second Amendment of the United States Constitution. She describes how the 'savage wars' against Indigenous Peoples, slave patrols (which policing in the U.S. originates from), today’s mass shootings, and the rise in white Nationalism are connected to the Second Amendment. This is a critically important work for all social science disciplines.""--Michael Yellow Bird, professor and director of Tribal and Indigenous Peoples Studies at North Dakota State University""This explosive, ground-breaking book dispels the confusion and shatters the sanctimony that surrounds the Second Amendment, revealing the colonial, racist core of the right to bear arms. You simply cannot understand the United States and its disastrous gun-mania without the brilliant Roxanne Dunbar-Ortiz as a guide.""--Astra Taylor, author of The People's Platform: Taking Back Power and Culture in the Digital Age""There is no more interesting historian of the United States than Roxanne Dunbar-Ortiz. And with Loaded she has done it again, taking a topic about which so much has already been written, distilling it down, turning it inside out, and allowing us to see American history anew.""--Walter Johnson, author of River of Dark Dreams: Slavery and Empire in the Mississippi Valley's Cotton Kingdom",City Lights Publishers,2018-01-23,Left Case,,,,176.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9780872867239-L.jpg,2025-09-28,False
book,The Art of War,Sun Tzu,Sun,Tzu,9781590302255,1590302257,"Conflict is an inevitable part of life, according to this ancient Chinese classic of strategy, but everything necessary to deal with conflict wisely, honorably, victoriously, is already present within us. Compiled more than two thousand years ago by a mysterious warrior-philosopher,  The Art of War  is still perhaps the most prestigious and influential book of strategy in the world, as eagerly studied in Asia by modern politicians and executives as it has been by military leaders since ancient times. As a study of the anatomy of organizations in conflict,  The Art of War  applies to competition and conflict in general, on every level from the interpersonal to the international. Its aim is invincibility, victory without battle, and unassailable strength through understanding the physics, politics, and psychology of conflict.",Shambhala,2005-01-11,Left Case,,,,224.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9781590302255-L.jpg,2025-09-28,False
book,The Language of Tattoos,"Oliver Munden, Nick Schonberger",Oliver,(Illustrator),9780711267862,711267863,"This book uncovers the meanings behind over 150 tattoo symbols, delving into the history of the most popular motifs that recur in many different tattoo styles, including tribal, traditional, Japanese and realistic.",Quarto Publishing Group UK,2022-11-22,Left Case,,,,224.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9780711267862-L.jpg,2025-09-28,False
book,How to Talk to Your Cat About Gun Safety,Zachary Auburn,Zachary,Auburn,9780451494924,045149492X,"The cats of America are under siege!    Long gone are the good old days when a cat’s biggest worries were mean dogs or a bath. Modern cats must confront satanists, online predators, the possibility of needing to survive in a post-apocalyptic wasteland, and countless other threats to their nine lives. For over four decades, the American Association of Patriots have stood at the vanguard of our country's defense by helping to prepare our nation's cat owners for the difficult conversations they dread having with their pets. Written in a simple Q&amp;A format, How to Talk to Your Cat About Gun Safety answers crucial questions such as, “What is the right age to talk to my cat about the proper use of firearms?” and “What are the benefits of my cat living a lifestyle of abstinence?” and especially “Why does my cat need to use the internet? Can’t he just play with yarn like cats used to do?” Our country—and our cats—stand at a precipice. It will take courage, and it will take hard work, but armed with the knowledge within these pages, we can make our cats—and America—great again!",Three Rivers Press,2016-10-04,Left Case,,,,144.0,,,,,,,,,,,,,2025-09-23,1.0,"https://m.media-amazon.com/images/I/81r7HjN4y1L._UF1000,1000_QL80_.jpg",2025-09-28,False
book,The Afghanistan Papers,"Craig Whitlock, The Washington Post",Craig,Whitlock,9781982159009,1982159006,"The groundbreaking investigative story of how three successive presidents and their military commanders deceived the public year after year about the longest war in American history by Washington Post reporter Craig Whitlock, a three-time Pulitzer Prize finalist. Unlike the wars in Vietnam and Iraq, the US invasion of Afghanistan in 2001 had near-unanimous public support. At first, the goals were straightforward and clear: to defeat al-Qaeda and prevent a repeat of 9/11. Yet soon after the United States and its allies removed the Taliban from power, the mission veered off course and US officials lost sight of their original objectives. Distracted by the war in Iraq, the US military became mired in an unwinnable guerrilla conflict in a country it did not understand. But no president wanted to admit failure, especially in a war that began as a just cause. Instead, the Bush, Obama, and Trump administrations sent more and more troops to Afghanistan and repeatedly said they were making progress, even though they knew there was no realistic prospect for an outright victory. Just as the Pentagon Papers changed the public's understanding of Vietnam, The Afghanistan Papers contains startling revelation after revelation from people who played a direct role in the war, from leaders in the White House and the Pentagon to soldiers and aid workers on the front lines. In unvarnished language, they admit that the US government's strategies were a mess, that the nation-building project was a colossal failure, and that drugs and corruption gained a stranglehold over their allies in the Afghan government. All told, the account is based on interviews with more than 1,000 people who knew that the US government was presenting a distorted, and sometimes entirely fabricated, version of the facts on the ground. Documents unearthed by The Washington Post reveal that President Bush didn't know the name of his Afghanistan war commander--and didn't want to make time to meet with him. Secretary of Defense Donald Rumsfeld admitted he had ""no visibility into who the bad guys are."" His successor, Robert Gates, said: ""We didn't know jack shit about al-Qaeda."" The Afghanistan Papers is a shocking account that will supercharge a long overdue reckoning over what went wrong and forever change the way the conflict is remembered.",Simon &amp; Schuster,2021-08-31,Left Case,,,,368.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9781982159009-L.jpg,2025-09-28,False
book,Letter 44,"Charles Soule, Alberto Alburquerque",Charles,Soule,9781620103883,1620103885,"The hit series from Charles Soule (Poe Dameron, Daredevil) and AlbertoJiménez Alberquerque (Mystery Girl) is now available for just $10!Newly-elected president Stephen Blades hoped to tackle the most critical issuesfacing the nation: war, the economy, and a failing health care system. But in aletter penned by the outgoing president, Blades learns the truth that redefines""critical"": seven years ago, NASA discovered alien presence in the asteroidbelt, and kept it a secret from the world. A stealth mission crewed by nineastronauts was sent to make contact, and they're getting close--assumingthey survive the long journey to reach their destination. PresidentBlades has just become the most powerful man on the planet. Thisplanet.","Oni Press, Incorporated",2017-04-11,Middle Case,,,,160.0,,,,,,,,,,,,,2025-09-23,1.0,https://covers.openlibrary.org/b/isbn/9781620103883-L.jpg,2025-09-28,False
